Date,Open,High,Low,Close
9/24/07,733.27,733.27,733.27,733.27
9/25/07,734.10,734.10,734.10,734.10
9/26/07,731.74,731.74,731.74,731.74
9/27/07,729.59,736.90,728.78,734.09
9/28/07,727.44,739.34,727.44,736.47
10/1/07,738.82,741.10,735.55,740.90
10/2/07,745.08,745.08,725.12,728.42
10/3/07,726.51,731.40,725.61,728.21
10/4/07,722.64,734.30,721.85,735.30
10/5/07,716.81,727.30,716.81,726.91
10/8/07,725.12,726.90,722.36,722.75
10/9/07,722.30,722.70,721.72,723.58
10/10/07,727.30,727.40,727.10,726.81
10/11/07,730.17,732.42,728.80,733.98
10/12/07,728.47,728.47,726.82,726.82
10/15/07,739.66,741.22,739.56,738.78
10/16/07,746.13,746.13,739.97,740.85
10/17/07,740.81,740.81,737.89,738.38
10/18/07,745.81,745.81,745.81,744.16
10/19/07,739.40,739.40,736.98,738.24
10/22/07,749.98,749.98,735.50,739.31
10/23/07,730.01,730.01,730.01,732.91
10/24/07,734.69,734.69,730.14,737.98
10/25/07,741.22,741.22,741.22,740.64
10/26/07,741.66,753.20,741.66,753.68
10/29/07,757.08,757.08,750.88,752.60
10/30/07,748.52,748.52,743.95,747.38
10/31/07,745.04,750.80,745.04,747.59
11/1/07,747.12,752.83,747.12,752.26
11/2/07,741.94,753.53,741.94,752.78
11/5/07,750.84,750.84,750.47,754.11
11/6/07,757.37,760.50,757.37,756.36
11/7/07,770.66,771.77,770.66,771.59
11/8/07,775.59,786.34,775.59,780.63
11/9/07,787.50,787.60,783.74,784.49
11/12/07,778.82,778.82,773.78,780.66
11/13/07,772.10,772.10,767.98,765.29
11/14/07,789.54,789.83,789.54,785.96
11/15/07,782.84,782.84,782.05,774.36
11/16/07,764.82,764.82,764.82,764.82
11/19/07,765.81,765.81,765.81,765.02
11/20/07,776.36,785.76,776.36,773.82
11/21/07,787.99,787.99,787.99,787.99
11/23/07,815.28,815.28,815.28,815.28
11/26/07,817.58,817.58,817.58,817.58
11/27/07,819.59,821.19,808.94,810.14
11/28/07,788.82,788.82,788.82,788.82
11/29/07,801.68,805.46,789.61,793.00
11/30/07,795.00,798.60,778.40,782.20
12/3/07,783.90,794.60,777.00,788.30
12/4/07,803.81,814.94,796.92,811.20
12/5/07,813.26,814.98,802.62,808.50
12/6/07,800.89,811.37,792.92,807.74
12/7/07,804.56,805.06,795.82,798.23
12/10/07,804.21,814.67,804.21,812.66
12/11/07,820.49,824.45,808.20,823.84
12/12/07,820.36,826.65,820.26,824.21
12/13/07,827.01,827.01,809.04,815.47
12/14/07,813.89,817.15,803.01,806.77
12/17/07,798.29,799.30,793.16,799.60
12/18/07,797.47,809.33,797.47,807.52
